company_name,rating_class,star_5,star_4,star_3,star_2,star_1,total_reviews
Evergreen Credit Union, Excellent,95%,2%,<1%,<1%,<1%,232 
Kryptominerstech, Average,100%,0%,0%,0%,0%,1 
cryptobaseatm.com, Average,50%,0%,0%,0%,50%,4 
Swadesh, Excellent,100%,0%,0%,0%,0%,11 
Coinhub Bitcoin ATM, Average,0%,0%,0%,0%,100%,2 
Liberty First Credit Union, Excellent,92%,3%,2%,<1%,2%,210 
Asicminertech, Bad,0%,0%,0%,5%,95%,22 
NorthOne, Average,40%,8%,2%,3%,47%,123 
Asic Miners Rig, Poor,0%,0%,0%,0%,100%,6 
Meriwest Credit Union, Average,62%,13%,0%,0%,25%,8 
WPC Merchant Services & Credit Card Processing, Average,100%,0%,0%,0%,0%,1 
The Payment HQ, Great,100%,0%,0%,0%,0%,2 
Coin Cloud, Poor,13%,3%,5%,11%,68%,114 
PNC Bank, Bad,5%,<1%,2%,4%,88%,909 
Cash Express, Average,36%,14%,7%,7%,36%,14 
Crypto Dispensers, Poor,44%,6%,5%,5%,40%,133 
Heritage Valley Federal Credit Union, Great,82%,0%,9%,9%,0%,11 
ASDFTEST, Average,100%,0%,0%,0%,0%,1 
